epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.0379,1.51332,3.21179,1.45268,0.92095,0.16667,0.48721,0.31579,1.17846,2.99823,1.09097,0.000272879,0.000272879,0.000272879
2,84.2221,1.42058,1.93486,1.37552,0.65073,0.72026,0.7891,0.50072,1.37254,1.43518,1.25666,0.000539645,0.000539645,0.000539645
3,123.342,1.38698,1.65432,1.35756,0.70571,0.69569,0.80837,0.57477,1.08999,1.39757,1.09359,0.000795415,0.000795415,0.000795415
4,162.56,1.36713,1.49898,1.34163,0.73588,0.79443,0.84583,0.55004,1.23732,1.31084,1.17694,0.00078352,0.00078352,0.00078352
5,201.754,1.31486,1.38478,1.31719,0.69522,0.65303,0.74477,0.55018,0.96736,1.51707,1.05317,0.000767026,0.000767026,0.000767026
6,241.644,1.28113,1.33021,1.29219,0.84338,0.7918,0.87549,0.46961,1.6037,1.07939,1.3043,0.000750533,0.000750533,0.000750533
7,282.124,1.26204,1.23459,1.2772,0.92646,0.71281,0.91677,0.70448,0.94523,1.02969,1.02705,0.00073404,0.00073404,0.00073404
8,322.735,1.25225,1.15947,1.26105,0.81096,0.87461,0.92583,0.69403,0.96874,0.9227,1.03931,0.000717546,0.000717546,0.000717546
9,362.974,1.22999,1.11703,1.24576,0.90795,0.8848,0.92111,0.66174,1.06846,0.85174,1.06206,0.000701053,0.000701053,0.000701053
10,403.701,1.21357,1.07293,1.24165,0.88932,0.84646,0.92003,0.56197,1.36264,0.86183,1.19674,0.000684559,0.000684559,0.000684559
11,445.234,1.1707,1.01208,1.21578,0.94144,0.8699,0.92676,0.54891,1.40497,0.89809,1.23379,0.000668066,0.000668066,0.000668066
12,489.466,1.1907,0.98872,1.22268,0.91491,0.85781,0.92772,0.63874,1.11434,0.80739,1.0992,0.000651573,0.000651573,0.000651573
13,533.65,1.17465,0.95693,1.2121,0.91596,0.87259,0.90304,0.62262,1.19589,0.8103,1.11761,0.000635079,0.000635079,0.000635079
14,577.794,1.14863,0.92541,1.20337,0.89326,0.85681,0.90593,0.61537,1.16811,0.80137,1.11519,0.000618586,0.000618586,0.000618586
15,619.787,1.14347,0.9051,1.20724,0.91045,0.93926,0.95352,0.71957,0.92153,0.7418,1.05104,0.000602092,0.000602092,0.000602092
